Success.
pybullet build time: Oct  8 2020 00:10:46
<marl_scalability.baselines.dqn_discrete.dqn_discrete.policy.DiscreteDQNPolicy object at 0x7f50151b1b50>
╭────────────────────┬────────────────────┬────────────────────┬────────────────────┬────────────────────╮
│            Episode │           Sim/Wall │        Total Steps │          Steps/Sec │              Score │
│           294/1000 │               0.27 │                 79 │               2.69 │        000: 1.3131 │
│           295/1000 │               0.27 │                193 │               2.74 │        000: 4.7883 │
│           296/1000 │               0.28 │                 67 │               2.78 │        000: 0.5509 │
│           297/1000 │               0.27 │                139 │               2.72 │        000: 3.1386 │
│           298/1000 │               0.28 │                183 │               2.76 │        000: 3.5292 │
│           299/1000 │               0.27 │                 63 │               2.69 │       000: -1.6225 │
│           300/1000 │               0.29 │                 26 │               2.86 │       000: -1.5427 │
│           301/1000 │               0.27 │                104 │               2.73 │        000: 1.2028 │
│           302/1000 │               0.30 │                 24 │               3.05 │       000: -1.3270 │
│           303/1000 │               0.26 │                 22 │               2.55 │       000: -1.1495 │
│           304/1000 │               0.28 │                 82 │               2.79 │       000: -1.7248 │
│           305/1000 │               0.27 │                 24 │               2.66 │       000: -0.6389 │
│           306/1000 │               0.28 │                 42 │               2.78 │        000: 0.2276 │
│           307/1000 │               0.27 │                 49 │               2.70 │        000: 0.4441 │
│           308/1000 │               0.28 │                113 │               2.75 │        000: 1.3805 │
│           309/1000 │               0.28 │                 22 │               2.83 │       000: -0.9902 │
│           310/1000 │               0.27 │                 37 │               2.73 │        000: 0.0520 │
│           311/1000 │               0.27 │                 62 │               2.75 │        000: 0.7630 │
│           312/1000 │               0.26 │                 51 │               2.63 │        000: 0.5039 │
│           313/1000 │               0.27 │                 68 │               2.70 │       000: -0.5981 │
│           314/1000 │               0.28 │                 96 │               2.80 │        000: 1.7646 │
│           315/1000 │               0.26 │                 43 │               2.65 │        000: 0.2518 │
│           316/1000 │               0.27 │                 40 │               2.72 │       000: -0.5398 │
│           317/1000 │               0.27 │                 77 │               2.72 │        000: 1.2818 │
│           318/1000 │               0.27 │                109 │               2.74 │        000: 2.2308 │
│           319/1000 │               0.27 │                 66 │               2.75 │       000: -0.9293 │
│           320/1000 │               0.27 │                 89 │               2.74 │        000: 1.1568 │
│           321/1000 │               0.28 │                138 │               2.75 │        000: 2.7054 │
│           322/1000 │               0.27 │                157 │               2.73 │        000: 3.1834 │
│           323/1000 │               0.27 │                 53 │               2.73 │        000: 0.5395 │
│           324/1000 │               0.27 │                 51 │               2.69 │       000: -0.0966 │
│           325/1000 │               0.28 │                200 │               2.77 │        000: 4.9947 │
│           326/1000 │               0.27 │                113 │               2.73 │        000: 1.9553 │
│           327/1000 │               0.28 │                 45 │               2.75 │        000: 0.0382 │
│           328/1000 │               0.27 │                 25 │               2.68 │       000: -0.4709 │
│           329/1000 │               0.27 │                 39 │               2.67 │       000: -0.6588 │
│           330/1000 │               0.28 │                 30 │               2.79 │       000: -0.1506 │
│           331/1000 │               0.26 │                 47 │               2.61 │        000: 0.3904 │
│           332/1000 │               0.29 │                 39 │               2.89 │       000: -3.8421 │
│           333/1000 │               0.27 │                 32 │               2.71 │       000: -1.2228 │
│           334/1000 │               0.27 │                 32 │               2.70 │       000: -0.5160 │
│           335/1000 │               0.28 │                 87 │               2.76 │        000: 1.6241 │
│           336/1000 │               0.27 │                 83 │               2.66 │        000: 1.4624 │
│           337/1000 │               0.27 │                109 │               2.73 │        000: 2.2647 │
│           338/1000 │               0.28 │                164 │               2.77 │        000: 3.9050 │
│           339/1000 │               0.27 │                 53 │               2.74 │        000: 0.4903 │
│           340/1000 │               0.28 │                 45 │               2.75 │        000: 0.1151 │
│           341/1000 │               0.28 │                 57 │               2.78 │       000: -2.3214 │
│           342/1000 │               0.27 │                 53 │               2.74 │        000: 0.3911 │
│           343/1000 │               0.27 │                109 │               2.75 │        000: 1.7770 │
│           344/1000 │               0.27 │                115 │               2.70 │        000: 2.4017 │
│           345/1000 │               0.28 │                 50 │               2.78 │        000: 0.2589 │
│           346/1000 │               0.27 │                 97 │               2.74 │        000: 1.8253 │
│           347/1000 │               0.27 │                202 │               2.75 │        000: 3.9367 │
│           348/1000 │               0.27 │                 52 │               2.67 │        000: 0.2042 │
│           349/1000 │               0.27 │                 32 │               2.71 │       000: -2.3912 │
│           350/1000 │               0.28 │                 66 │               2.75 │       000: -0.5590 │
│           351/1000 │               0.26 │                 51 │               2.64 │        000: 0.5132 │
│           352/1000 │               0.29 │                 60 │               2.88 │      000: -10.8636 │
│           353/1000 │               0.26 │                 34 │               2.59 │       000: -2.7227 │
│           354/1000 │               0.28 │                175 │               2.76 │        000: 4.1773 │
│           355/1000 │               0.27 │                200 │               2.73 │        000: 3.9065 │
│           356/1000 │               0.27 │                105 │               2.73 │        000: 2.1351 │
│           357/1000 │               0.27 │                 80 │               2.69 │       000: -0.0589 │
│           358/1000 │               0.27 │                154 │               2.75 │        000: 3.5640 │
│           359/1000 │               0.27 │                 70 │               2.72 │        000: 1.0643 │
│           360/1000 │               0.27 │                177 │               2.73 │        000: 3.9176 │
│           361/1000 │               0.27 │                222 │               2.74 │        000: 5.3517 │
│           362/1000 │               0.27 │                 68 │               2.70 │        000: 0.8546 │
│           363/1000 │               0.27 │                 53 │               2.70 │        000: 0.5715 │
